cell_id,algorithm,dataset,uncertainty_level,priority_regime,seed,sales_norm,coverage,robustness,robustness_absolute_loss,robustness_base_sales,robustness_flagged,disruption_rate,replan_cost_median,disruption_rate_source_account,disruption_rate_source_rep_planned,disruption_rate_source_rep_unplanned,training_time_sec,prediction_time_sec,total_replan_time_sec,softfallback_invocations,config_hash,git_commit,timestamp,elapsed_sec
probe1::markov::probe1_no_unc::none::balanced::42,markov,probe1_no_unc,none,balanced,42,0.218399,1.079473,1.0,0.0,0.0,False,0.005723,0.0,0.0,0.0,1.0,0.178,2.129,0.0,0,714bc76699cbb34c,,2026-05-14T15:24:36,6.4
probe1::prophet::probe1_no_unc::none::balanced::42,prophet,probe1_no_unc,none,balanced,42,-2.447703,0.068172,1.0,0.0,0.0,False,0.005831,0.0,0.0,0.0,1.0,6.233,7.152,0.0,0,714bc76699cbb34c,,2026-05-14T15:24:54,17.57
probe1::neural_tpp::probe1_no_unc::none::balanced::42,neural_tpp,probe1_no_unc,none,balanced,42,-1.242707,0.565942,1.0,0.0,0.0,False,0.004087,1e-06,0.0,0.0,1.0,8.523,8.822,0.0,0,714bc76699cbb34c,,2026-05-14T15:25:15,21.16
probe1::beam_tpp::probe1_no_unc::none::balanced::42,beam_tpp,probe1_no_unc,none,balanced,42,-1.056329,0.235946,1.0,0.0,0.0,False,0.005518,0.0,0.0,0.0,1.0,6.761,82.895,0.0,0,714bc76699cbb34c,,2026-05-14T15:26:49,94.31
probe1::constrained_tpp::probe1_no_unc::none::balanced::42,constrained_tpp,probe1_no_unc,none,balanced,42,-1.077993,0.239058,1.0,0.0,0.0,False,0.005463,0.0,0.0,0.0,1.0,6.311,89.379,0.0,0,714bc76699cbb34c,,2026-05-14T15:28:30,100.42
