cell_id,algorithm,dataset,uncertainty_level,priority_regime,seed,sales_norm,coverage,robustness,disruption_rate,replan_cost_median,disruption_rate_source_account,disruption_rate_source_rep_planned,disruption_rate_source_rep_unplanned,training_time_sec,prediction_time_sec,total_replan_time_sec,softfallback_invocations,config_hash,git_commit,timestamp
smoke::markov::syn::default::balanced::42,markov,synthetic_smoke,default,balanced,42,0.238786,0.830522,0.915889,0.091567,0.043381,0.7232796486090776,0.0,0.24597364568081992,0.0,192.355,0.13,0,ce9873efc15787b6,,2026-05-14T13:58:13
smoke::markov::syn::default::balanced::42,markov,synthetic_smoke,default,balanced,42,0.238786,0.830522,0.915889,0.091567,0.043553,0.7232796486090776,0.0,0.24597364568081992,0.0,191.379,0.131,0,ce9873efc15787b6,,2026-05-14T14:05:09
smoke::prophet::syn::default::balanced::42,prophet,synthetic_smoke,default,balanced,42,-1.664936,0.041326,0.982418,0.091942,0.039088,0.7134831460674157,0.0,0.25280898876404495,0.0,184.553,0.117,0,ce9873efc15787b6,,2026-05-14T14:08:24
smoke::neural_tpp::syn::default::balanced::42,neural_tpp,synthetic_smoke,default,balanced,42,0.096269,0.577804,0.921334,0.096076,0.044439,0.7327001356852103,0.0,0.22795115332428764,2.923,206.334,0.133,0,ce9873efc15787b6,,2026-05-14T14:12:06
smoke::beam_tpp::syn::default::balanced::42,beam_tpp,synthetic_smoke,default,balanced,42,-0.928704,0.155101,0.964637,0.094198,0.051513,0.7395301327885597,0.0,0.2257405515832482,2.3,268.697,0.155,0,ce9873efc15787b6,,2026-05-14T14:16:53
smoke::constrained_tpp::syn::default::balanced::42,constrained_tpp,synthetic_smoke,default,balanced,42,-0.884116,0.162053,0.963842,0.094487,0.05206,0.7393075356415478,0.0,0.22606924643584522,2.316,283.186,0.156,0,ce9873efc15787b6,,2026-05-14T14:21:54
